 Total Nb of available Diagnostics: ndiagt=   928
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    99 |MoistCor| 23 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |gT_Forc | 23 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   101 |gS_Forc | 23 |       |SMR     MR|psu/s           |Salinity forcing tendency
   102 |AB_gT   | 23 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   103 |AB_gS   | 23 |       |SMR     MR|psu/s           |Salinity tendency from Adams-Bashforth
   104 |gTinAB  | 23 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   105 |gSinAB  | 23 |       |SMR     MR|psu/s           |Salinity tendency going in Adams-Bashforth
   106 |AB_gU   | 23 |   107 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   107 |AB_gV   | 23 |   106 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   108 |ADVr_TH | 23 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   109 |ADVx_TH | 23 |   110 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   110 |ADVy_TH | 23 |   109 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   111 |DFrE_TH | 23 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   112 |DFxE_TH | 23 |   113 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   113 |DFyE_TH | 23 |   112 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   114 |DFrI_TH | 23 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   115 |ADVr_SLT| 23 |       |WM      LR|psu.m^3/s       |Vertical   Advective Flux of Salinity
   116 |ADVx_SLT| 23 |   117 |UU      MR|psu.m^3/s       |Zonal      Advective Flux of Salinity
   117 |ADVy_SLT| 23 |   116 |VV      MR|psu.m^3/s       |Meridional Advective Flux of Salinity
   118 |DFrE_SLT| 23 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Explicit part)
   119 |DFxE_SLT| 23 |   120 |UU      MR|psu.m^3/s       |Zonal      Diffusive Flux of Salinity
   120 |DFyE_SLT| 23 |   119 |VV      MR|psu.m^3/s       |Meridional Diffusive Flux of Salinity
   121 |DFrI_SLT| 23 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Implicit part)
   122 |SALTFILL| 23 |       |SM      MR|psu.m^3/s       |Filling of Negative Values of Salinity
   123 |EXFhs   |  1 |       |SM      U1|W/m^2           |Sensible heat flux into ocean, >0 increases theta
   124 |EXFhl   |  1 |       |SM      U1|W/m^2           |Latent heat flux into ocean, >0 increases theta
   125 |EXFlwnet|  1 |       |SM      U1|W/m^2           |Net upward longwave radiation, >0 decreases theta
   126 |EXFswnet|  1 |       |SM      U1|W/m^2           |Net upward shortwave radiation, >0 decreases theta
   127 |EXFlwdn |  1 |       |SM      U1|W/m^2           |Downward longwave radiation, >0 increases theta
   128 |EXFswdn |  1 |       |SM      U1|W/m^2           |Downward shortwave radiation, >0 increases theta
   129 |EXFqnet |  1 |       |SM      U1|W/m^2           |Net upward heat flux (turb+rad), >0 decreases theta
   130 |EXFtaux |  1 |       |UM      U1|N/m^2           |zonal surface wind stress, >0 increases uVel
   131 |EXFtauy |  1 |       |VM      U1|N/m^2           |meridional surface wind stress, >0 increases vVel
   132 |EXFuwind|  1 |       |UM      U1|m/s             |zonal 10-m wind speed, >0 increases uVel
   133 |EXFvwind|  1 |       |VM      U1|m/s             |meridional 10-m wind speed, >0 increases uVel
   134 |EXFwspee|  1 |       |SM      U1|m/s             |10-m wind speed modulus ( >= 0 )
   135 |EXFatemp|  1 |       |SM      U1|degK            |surface (2-m) air temperature
   136 |EXFaqh  |  1 |       |SM      U1|kg/kg           |surface (2-m) specific humidity
   137 |EXFevap |  1 |       |SM      U1|m/s             |evaporation, > 0 increases salinity
   138 |EXFpreci|  1 |       |SM      U1|m/s             |precipitation, > 0 decreases salinity
   139 |EXFsnow |  1 |       |SM      U1|m/s             |snow precipitation, > 0 decreases salinity
   140 |EXFempmr|  1 |       |SM      U1|m/s             |net upward freshwater flux, > 0 increases salinity
   141 |EXFpress|  1 |       |SM      U1|N/m^2           |atmospheric pressure field
   142 |EXFroff |  1 |       |SM      U1|m/s             |river runoff, > 0 decreases salinity
   143 |EXFroft |  1 |       |SM      U1|deg C           |river runoff temperature
   144 |KPPviscA| 23 |       |SM P    LR|m^2/s           |KPP vertical eddy viscosity coefficient
   145 |KPPdiffS| 23 |       |SM P    LR|m^2/s           |Vertical diffusion coefficient for salt & tracers
   146 |KPPdiffT| 23 |       |SM P    LR|m^2/s           |Vertical diffusion coefficient for heat
   147 |KPPghatK| 23 |       |SM P    LR|0-1             |ratio of KPP non-local (salt) flux relative to surface-flux
   148 |KPPhbl  |  1 |       |SM P     1|m               |KPP boundary layer depth, bulk Ri criterion
   149 |KPPfrac |  1 |       |SM P     1|                |Short-wave flux fraction penetrating mixing layer
   150 |KPPdbsfc| 23 |       |SM P    UR|m/s^2           |Buoyancy difference with respect to surface
   151 |KPPbfsfc| 23 |       |SM P    UR|m^2/s^3         |Bo+radiation absorbed to d=hbf*hbl + plume
   152 |KPPRi   | 23 |       |SM P    UR|non-dimensional |Bulk Richardson number
   153 |KPPbo   |  1 |       |SM P     1|m^2/s^3         |Surface turbulent buoyancy forcing
   154 |KPPbosol|  1 |       |SM P     1|m^2/s^3         |surface radiative buoyancy forcing
   155 |KPPdbloc| 23 |       |SM P    UR|m/s^2           |Local delta buoyancy across interfaces
   156 |KPPnuddt| 23 |       |SM P    UR|m^2/s           |Vertical double diffusion coefficient for heat
   157 |KPPnudds| 23 |       |SM P    UR|m^2/s           |Vertical double diffusion coefficient for salt
   158 |KPPg_TH | 23 |       |WM      LR|degC.m^3/s      |KPP non-local Flux of Pot.Temperature
   159 |KPPg_SLT| 23 |       |WM      LR|psu.m^3/s       |KPP non-local Flux of Salinity
   160 |GM_VisbK|  1 |       |SM P    M1|m^2/s           |Mixing coefficient from Visbeck etal parameterization
   161 |GM_hTrsL|  1 |       |SM P    M1|m               |Base depth (>0) of the Transition Layer
   162 |GM_baseS|  1 |       |SM P    M1|1               |Slope at the base of the Transition Layer
   163 |GM_rLamb|  1 |       |SM P    M1|1/m             |Slope vertical gradient at Trans. Layer Base (=recip.Lambda)
   164 |SubMesLf|  1 |       |SM P    M1|m               |Sub-Meso horiz. Length Scale (Lf)
   165 |SubMpsiX|  1 |   166 |UU      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): U component
   166 |SubMpsiY|  1 |   165 |VV      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): V component
   167 |GM_Kux  | 23 |   168 |UU P    MR|m^2/s           |K_11 element (U.point, X.dir) of GM-Redi tensor
   168 |GM_Kvy  | 23 |   167 |VV P    MR|m^2/s           |K_22 element (V.point, Y.dir) of GM-Redi tensor
   169 |GM_Kuz  | 23 |   170 |UU      MR|m^2/s           |K_13 element (U.point, Z.dir) of GM-Redi tensor
   170 |GM_Kvz  | 23 |   169 |VV      MR|m^2/s           |K_23 element (V.point, Z.dir) of GM-Redi tensor
   171 |GM_Kwx  | 23 |   172 |UM      LR|m^2/s           |K_31 element (W.point, X.dir) of GM-Redi tensor
   172 |GM_Kwy  | 23 |   171 |VM      LR|m^2/s           |K_32 element (W.point, Y.dir) of GM-Redi tensor
   173 |GM_Kwz  | 23 |       |WM P    LR|m^2/s           |K_33 element (W.point, Z.dir) of GM-Redi tensor
   174 |GM_PsiX | 23 |   175 |UU      LR|m^2/s           |GM Bolus transport stream-function : U component
   175 |GM_PsiY | 23 |   174 |VV      LR|m^2/s           |GM Bolus transport stream-function : V component
   176 |GM_KuzTz| 23 |   177 |UU      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: X component
   177 |GM_KvzTz| 23 |   176 |VV      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: Y component
   178 |GM_KwzTz| 23 |       |WM      LR|degC.m^3/s      |Redi main-diagonal vertical Temperature flux
   179 |GM_ubT  | 23 |   180 |UUr     MR|degC.m^3/s      |Zonal Mass-Weight Bolus Transp of Pot Temp
   180 |GM_vbT  | 23 |   179 |VVr     MR|degC.m^3/s      |Meridional Mass-Weight Bolus Transp of Pot Temp
   181 |TRAC01  | 23 |       |SMR     MR|mmol C/         |DIC concentration
   182 |UTRAC01 | 23 |   183 |UUr     MR|mmolC/.m/s      |Zonal Mass-Weighted Transp of DIC
   183 |VTRAC01 | 23 |   182 |VVr     MR|mmolC/.m/s      |Merid Mass-Weighted Transp of DIC
   184 |WTRAC01 | 23 |       |WM      MR|mmolC/.m/s      |Vert  Mass-Weighted Transp of DIC
   185 |ForcTr01| 23 |       |SMR     MR|mmolC//s        |DIC forcing tendency
   186 |AB_gTr01| 23 |       |SMR     MR|mmolC//s        |DIC tendency from Adams-Bashforth
   187 |ADVrTr01| 23 |       |WM      LR|mmolC/.m^3/s    |Vertical   Advective Flux of DIC
   188 |ADVxTr01| 23 |   189 |UU      MR|mmolC/.m^3/s    |Zonal      Advective Flux of DIC
   189 |ADVyTr01| 23 |   188 |VV      MR|mmolC/.m^3/s    |Meridional Advective Flux of DIC
   190 |DFrETr01| 23 |       |WM      LR|mmolC/.m^3/s    |Vertical Diffusive Flux of DIC (Explicit part)
   191 |DFxETr01| 23 |   192 |UU      MR|mmolC/.m^3/s    |Zonal      Diffusive Flux of DIC
   192 |DFyETr01| 23 |   191 |VV      MR|mmolC/.m^3/s    |Meridional Diffusive Flux of DIC
   193 |DFrITr01| 23 |       |WM      LR|mmolC/.m^3/s    |Vertical Diffusive Flux of DIC (Implicit part)
   194 |KPPgTr01| 23 |       |WM      LR|mmolC/.m^3/s    |KPP non-local Flux of DIC
   195 |TRAC02  | 23 |       |SMR     MR|mmol N/         |NH4 concentration
   196 |UTRAC02 | 23 |   197 |UUr     MR|mmolN/.m/s      |Zonal Mass-Weighted Transp of NH4
   197 |VTRAC02 | 23 |   196 |VVr     MR|mmolN/.m/s      |Merid Mass-Weighted Transp of NH4
   198 |WTRAC02 | 23 |       |WM      MR|mmolN/.m/s      |Vert  Mass-Weighted Transp of NH4
   199 |ForcTr02| 23 |       |SMR     MR|mmolN//s        |NH4 forcing tendency
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |AB_gTr02| 23 |       |SMR     MR|mmolN//s        |NH4 tendency from Adams-Bashforth
   201 |ADVrTr02| 23 |       |WM      LR|mmolN/.m^3/s    |Vertical   Advective Flux of NH4
   202 |ADVxTr02| 23 |   203 |UU      MR|mmolN/.m^3/s    |Zonal      Advective Flux of NH4
   203 |ADVyTr02| 23 |   202 |VV      MR|mmolN/.m^3/s    |Meridional Advective Flux of NH4
   204 |DFrETr02| 23 |       |WM      LR|mmolN/.m^3/s    |Vertical Diffusive Flux of NH4 (Explicit part)
   205 |DFxETr02| 23 |   206 |UU      MR|mmolN/.m^3/s    |Zonal      Diffusive Flux of NH4
   206 |DFyETr02| 23 |   205 |VV      MR|mmolN/.m^3/s    |Meridional Diffusive Flux of NH4
   207 |DFrITr02| 23 |       |WM      LR|mmolN/.m^3/s    |Vertical Diffusive Flux of NH4 (Implicit part)
   208 |KPPgTr02| 23 |       |WM      LR|mmolN/.m^3/s    |KPP non-local Flux of NH4
   209 |TRAC03  | 23 |       |SMR     MR|mmol N/         |NO2 concentration
   210 |UTRAC03 | 23 |   211 |UUr     MR|mmolN/.m/s      |Zonal Mass-Weighted Transp of NO2
   211 |VTRAC03 | 23 |   210 |VVr     MR|mmolN/.m/s      |Merid Mass-Weighted Transp of NO2
   212 |WTRAC03 | 23 |       |WM      MR|mmolN/.m/s      |Vert  Mass-Weighted Transp of NO2
   213 |ForcTr03| 23 |       |SMR     MR|mmolN//s        |NO2 forcing tendency
   214 |AB_gTr03| 23 |       |SMR     MR|mmolN//s        |NO2 tendency from Adams-Bashforth
   215 |ADVrTr03| 23 |       |WM      LR|mmolN/.m^3/s    |Vertical   Advective Flux of NO2
   216 |ADVxTr03| 23 |   217 |UU      MR|mmolN/.m^3/s    |Zonal      Advective Flux of NO2
   217 |ADVyTr03| 23 |   216 |VV      MR|mmolN/.m^3/s    |Meridional Advective Flux of NO2
   218 |DFrETr03| 23 |       |WM      LR|mmolN/.m^3/s    |Vertical Diffusive Flux of NO2 (Explicit part)
   219 |DFxETr03| 23 |   220 |UU      MR|mmolN/.m^3/s    |Zonal      Diffusive Flux of NO2
   220 |DFyETr03| 23 |   219 |VV      MR|mmolN/.m^3/s    |Meridional Diffusive Flux of NO2
   221 |DFrITr03| 23 |       |WM      LR|mmolN/.m^3/s    |Vertical Diffusive Flux of NO2 (Implicit part)
   222 |KPPgTr03| 23 |       |WM      LR|mmolN/.m^3/s    |KPP non-local Flux of NO2
   223 |TRAC04  | 23 |       |SMR     MR|mmol N/         |NO3 concentration
   224 |UTRAC04 | 23 |   225 |UUr     MR|mmolN/.m/s      |Zonal Mass-Weighted Transp of NO3
   225 |VTRAC04 | 23 |   224 |VVr     MR|mmolN/.m/s      |Merid Mass-Weighted Transp of NO3
   226 |WTRAC04 | 23 |       |WM      MR|mmolN/.m/s      |Vert  Mass-Weighted Transp of NO3
   227 |ForcTr04| 23 |       |SMR     MR|mmolN//s        |NO3 forcing tendency
   228 |AB_gTr04| 23 |       |SMR     MR|mmolN//s        |NO3 tendency from Adams-Bashforth
   229 |ADVrTr04| 23 |       |WM      LR|mmolN/.m^3/s    |Vertical   Advective Flux of NO3
   230 |ADVxTr04| 23 |   231 |UU      MR|mmolN/.m^3/s    |Zonal      Advective Flux of NO3
   231 |ADVyTr04| 23 |   230 |VV      MR|mmolN/.m^3/s    |Meridional Advective Flux of NO3
   232 |DFrETr04| 23 |       |WM      LR|mmolN/.m^3/s    |Vertical Diffusive Flux of NO3 (Explicit part)
   233 |DFxETr04| 23 |   234 |UU      MR|mmolN/.m^3/s    |Zonal      Diffusive Flux of NO3
   234 |DFyETr04| 23 |   233 |VV      MR|mmolN/.m^3/s    |Meridional Diffusive Flux of NO3
   235 |DFrITr04| 23 |       |WM      LR|mmolN/.m^3/s    |Vertical Diffusive Flux of NO3 (Implicit part)
   236 |KPPgTr04| 23 |       |WM      LR|mmolN/.m^3/s    |KPP non-local Flux of NO3
   237 |TRAC05  | 23 |       |SMR     MR|mmol P/         |PO4 concentration
   238 |UTRAC05 | 23 |   239 |UUr     MR|mmolP/.m/s      |Zonal Mass-Weighted Transp of PO4
   239 |VTRAC05 | 23 |   238 |VVr     MR|mmolP/.m/s      |Merid Mass-Weighted Transp of PO4
   240 |WTRAC05 | 23 |       |WM      MR|mmolP/.m/s      |Vert  Mass-Weighted Transp of PO4
   241 |ForcTr05| 23 |       |SMR     MR|mmolP//s        |PO4 forcing tendency
   242 |AB_gTr05| 23 |       |SMR     MR|mmolP//s        |PO4 tendency from Adams-Bashforth
   243 |ADVrTr05| 23 |       |WM      LR|mmolP/.m^3/s    |Vertical   Advective Flux of PO4
   244 |ADVxTr05| 23 |   245 |UU      MR|mmolP/.m^3/s    |Zonal      Advective Flux of PO4
   245 |ADVyTr05| 23 |   244 |VV      MR|mmolP/.m^3/s    |Meridional Advective Flux of PO4
   246 |DFrETr05| 23 |       |WM      LR|mmolP/.m^3/s    |Vertical Diffusive Flux of PO4 (Explicit part)
   247 |DFxETr05| 23 |   248 |UU      MR|mmolP/.m^3/s    |Zonal      Diffusive Flux of PO4
   248 |DFyETr05| 23 |   247 |VV      MR|mmolP/.m^3/s    |Meridional Diffusive Flux of PO4
   249 |DFrITr05| 23 |       |WM      LR|mmolP/.m^3/s    |Vertical Diffusive Flux of PO4 (Implicit part)
   250 |KPPgTr05| 23 |       |WM      LR|mmolP/.m^3/s    |KPP non-local Flux of PO4
   251 |TRAC06  | 23 |       |SMR     MR|mmol Si         |SiO2 concentration
   252 |UTRAC06 | 23 |   253 |UUr     MR|mmolSi.m/s      |Zonal Mass-Weighted Transp of SiO2
   253 |VTRAC06 | 23 |   252 |VVr     MR|mmolSi.m/s      |Merid Mass-Weighted Transp of SiO2
   254 |WTRAC06 | 23 |       |WM      MR|mmolSi.m/s      |Vert  Mass-Weighted Transp of SiO2
   255 |ForcTr06| 23 |       |SMR     MR|mmolSi/s        |SiO2 forcing tendency
   256 |AB_gTr06| 23 |       |SMR     MR|mmolSi/s        |SiO2 tendency from Adams-Bashforth
   257 |ADVrTr06| 23 |       |WM      LR|mmolSi.m^3/s    |Vertical   Advective Flux of SiO2
   258 |ADVxTr06| 23 |   259 |UU      MR|mmolSi.m^3/s    |Zonal      Advective Flux of SiO2
   259 |ADVyTr06| 23 |   258 |VV      MR|mmolSi.m^3/s    |Meridional Advective Flux of SiO2
   260 |DFrETr06| 23 |       |WM      LR|mmolSi.m^3/s    |Vertical Diffusive Flux of SiO2 (Explicit part)
   261 |DFxETr06| 23 |   262 |UU      MR|mmolSi.m^3/s    |Zonal      Diffusive Flux of SiO2
   262 |DFyETr06| 23 |   261 |VV      MR|mmolSi.m^3/s    |Meridional Diffusive Flux of SiO2
